|name        |gcn_name  |time                   |ra      |dec     |error_radius|redshift|        t90|        t90_error|        fluence|        fluence_error|
|GRB140323433|GRB140323A|2014-03-23 10:22:53.003|306.4554|-36.7570|      0.1800|        |    111.426|          3.02700|    3.24240e-05|          1.92080e-07|
|GRB190731943|GRB190731A|2019-07-31 22:38:23.004|312.1918|-38.2711|      0.3100|        |     15.872|          0.36200|    8.86480e-05|          3.38480e-08|
|GRB160325291|GRB160325A|2016-03-25 06:59:21.002|301.5342|-44.4319|      0.2400|        |     42.945|          0.57200|    1.85980e-05|          1.98120e-07|
|GRB210826293|GRB210826A|2021-08-26 07:01:44.996|289.8326|-41.9814|      0.2100| 0.05000|     19.712|          1.14500|    1.20520e-05|          6.06160e-08|
|GRB201104001|GRB201104A|2020-11-04 00:00:55.996|282.0331|-32.4744|      0.2400|        |     52.480|          7.42800|    1.30580e-05|          7.47640e-08|
|GRB120711115|GRB120711A|2012-07-11 02:44:52.999|281.3498|-28.1971|      0.1300| 1.40500|     44.033|          0.72400|    1.94280e-04|          2.27510e-07|
|GRB171212434|GRB171212B|2017-12-12 10:24:18.003|291.0416|-43.9636|      0.4300|        |     32.001|          1.37900|    5.03120e-06|          6.78050e-08|
|GRB120107384|GRB120107A|2012-01-07 09:12:14.996|318.6508|-14.3940|      0.3400|        |     23.040|          0.14300|    6.53200e-06|          4.43560e-08|
|GRB130327350|GRB130327B|2013-03-27 08:24:04.000|311.5638| -8.6094|      0.2100|        |     31.232|          0.72400|    5.19950e-05|          8.05810e-08|
|GRB150902733|GRB150902A|2015-09-02 17:35:39.002|310.6147| -7.8370|      0.1800|        |     13.568|          0.36200|    8.31920e-05|          5.19990e-08|
|GRB210520797|GRB210520A|2021-05-20 19:07:01.998|282.4468|-18.3775|      0.8700|        |     56.065|          3.08300|    2.84510e-06|          4.11240e-08|
|GRB180703876|GRB180703A|2018-07-03 21:01:39.999|306.7281|-49.8421|      0.3300|        |     20.736|          1.55700|    1.62510e-05|          4.28880e-08|
|GRB141221897|GRB141221B|2014-12-21 21:31:47.997|277.0513|-26.2441|      0.3300|        |     32.513|          1.84600|    7.43930e-06|          7.12780e-08|
|GRB180113418|GRB180113C|2018-01-13 10:02:04.998|295.2503| -2.9613|      1.0000|        |     24.576|          0.36200|    1.63110e-04|          5.76290e-08|
|GRB170127067|GRB170127C|2017-01-27 01:35:47.000|324.0439|-47.2212|      0.5200|        |      0.128|          0.04500|    5.58680e-06|          5.31910e-08|
|GRB200803149|GRB200803A|2020-08-03 03:34:25.997|332.7296|-36.7561|      0.4600|        |    118.274|          1.14500|    3.08930e-05|          3.35850e-08|
|GRB150403913|GRB150403A|2015-04-03 21:54:09.996|333.4309|-37.0942|      0.2300| 2.06000|     22.272|          0.81000|    5.47070e-05|          5.52990e-08|
|GRB150514774|GRB150514A|2015-05-14 18:35:04.998|270.3568|-36.9648|      0.1500| 0.80700|     10.813|          1.07200|    4.73560e-06|          4.84770e-08|
|GRB200219317|GRB200219A|2020-02-19 07:36:49.000|326.2541|-51.1517|      0.2900|        |      1.152|          1.03200|    1.58480e-06|          4.00370e-08|
|GRB140528837|GRB140528A|2014-05-28 20:05:22.001|336.1390|-22.0131|      0.3600|        |     13.568|          0.57200|    2.15460e-05|          4.81750e-08|
|GRB160422499|GRB160422A|2016-04-22 11:59:00.004|277.3920|-53.0490|      0.1000|        |     12.288|          0.36200|    8.80210e-05|          7.05220e-08|
|GRB141222298|GRB141222A|2014-12-22 07:08:56.996|294.9442|  4.6371|      0.0800|        |      2.752|          0.26400|    9.20550e-06|          3.81770e-08|
|GRB150702998|GRB150702A|2015-07-02 23:56:37.997|270.6943|-49.1024|      0.5400|        |     45.825|          2.06400|    1.17410e-05|          5.40280e-08|
|GRB160829334|GRB160829A|2016-08-29 08:01:36.998|307.7972|  5.7566|      0.1000|        |      0.512|          0.20200|    3.39530e-07|          1.10510e-08|
|GRB120316008|GRB120316A|2012-03-16 00:11:01.997|268.3031|-46.9780|      0.3100|        |     26.624|          0.36200|    1.62570e-05|          3.07700e-08|
|GRB140928437|GRB140928A|2014-09-28 10:29:53.002|273.8733|-53.6673|      0.1000|        |     17.920|          6.72000|    4.47230e-06|          8.34630e-08|
|GRB141012773|GRB141012A|2014-10-12 18:33:16.998|344.3488|-25.4676|      0.2700|        |     37.633|          1.61900|    6.64050e-06|          4.26250e-08|
|GRB150627183|GRB150627A|2015-06-27 04:23:23.001|264.8812|-12.5461|      0.0600|        |     64.577|          0.59000|    1.79720e-04|          3.82560e-07|
|GRB220408311|GRB220408B|2022-04-08 07:28:03.999|258.8511|-27.0772|      0.0600|        |     32.513|          1.05600|    3.45950e-05|          6.84460e-08|
|GRB160905471|GRB160905A|2016-09-05 11:18:54.999|283.8914|  7.3727|      0.1000|        |     33.537|          1.37900|    7.31680e-05|          3.64650e-07|
|GRB120709883|GRB120709A|2012-07-09 21:11:40.004|347.9563|-43.1787|      0.4000|        |     27.328|          0.95800|    1.37290e-05|          3.75100e-08|
|GRB150820880|GRB150820A|2015-08-20 21:07:14.998|340.4708| -5.6225|     15.3000|        |      5.888|          1.37900|    3.42780e-07|          1.77330e-08|
|GRB181020792|GRB181020A|2018-10-20 19:00:32.999|301.8396|-69.5535|      0.5500| 2.93800|     15.104|          0.57200|    2.80740e-05|          3.43940e-08|
|GRB170906030|GRB170906A|2017-09-06 00:43:08.000|310.7161| 15.0808|      0.1000|        |     78.849|          0.72400|    9.46070e-05|          7.83110e-08|
|GRB141102536|GRB141102A|2014-11-02 12:51:39.004|314.3418| 14.7002|      0.6800|        |      2.624|          0.32600|    1.41950e-06|          4.12080e-08|
|GRB170115743|GRB170115B|2017-01-15 17:49:13.996|300.4020| 16.1722|      0.7400|        |     44.288|          3.08300|    5.19410e-05|          6.29110e-08|
|GRB150523396|GRB150523A|2015-05-23 09:29:47.996|258.6739|-10.9449|      0.0800|        |     82.433|          2.57300|    3.30820e-05|          4.09980e-08|
|GRB170424425|GRB170424A|2017-04-24 10:12:29.998|347.4488|-60.6349|      0.6900|        |     53.249|          3.16700|    2.02880e-05|          7.70060e-08|
|GRB190531840|GRB190531B|2019-05-31 20:10:12.003|273.4221|-72.4336|      0.1000|        |     38.145|          0.92300|    9.81060e-05|          3.66340e-08|
|GRB170510217|GRB170510A|2017-05-10 05:12:24.998|277.0483| 16.9395|      0.4900|        |    127.746|          0.92300|    4.38670e-05|          7.64340e-08|
|GRB110721200|GRB110721A|2011-07-21 04:47:42.996|  3.5228|-55.3376|      0.1200|        |     21.822|          0.57200|    3.70420e-05|          3.84580e-08|
|GRB210202841|GRB210202A|2021-02-02 20:10:31.002|332.4724| 16.2110|      0.6100|        |     17.664|          0.57200|    1.55440e-05|          2.67290e-08|
|GRB120919052|GRB120919B|2012-09-19 01:14:23.001|  3.3613|-31.2173|      0.1400|        |    118.018|          0.36200|    2.06740e-05|          3.81490e-08|
|GRB120911268|GRB120911B|2012-09-11 06:26:11.996|285.6649| 22.6477|      0.6000|        |     69.000|                 |               |                     |
|GRB140110263|GRB140110A|2014-01-10 06:18:36.996|251.1913|-73.3423|      0.2500|        |      9.472|          1.61900|    5.42600e-06|          4.53320e-08|
|GRB150118409|GRB150118B|2015-01-18 09:48:17.001|340.5789| 12.7382|      0.5600|        |     40.193|          0.57200|    1.41140e-04|          1.09720e-07|
|GRB131216081|GRB131216A|2013-12-16 01:56:31.998|242.0253|-23.9780|      2.2400|        |     19.262|          3.59800|    6.77790e-06|          3.99000e-08|
|GRB120526303|GRB120526A|2012-05-26 07:16:39.996|236.3685|-54.2944|      0.1100|        |     43.649|          1.00200|    1.16190e-04|          2.27960e-07|
|GRB121225417|GRB121225B|2012-12-25 10:00:53.001|  8.2097|-36.7829|      1.5000|        |     58.497|          0.82000|    6.95800e-05|          1.91100e-07|
|GRB110518860|GRB110518A|2011-05-18 20:38:10.003|235.6743|-43.2849|      0.1900|        |     35.000|                 |               |                     |
|GRB131209547|GRB131209A|2013-12-09 13:07:55.998|258.8613|  9.2588|      1.1600|        |     13.568|          1.14500|    1.36740e-05|          8.83320e-08|
|GRB170825307|GRB170825B|2017-08-25 07:22:00.998|  4.2709|-16.3633|      1.0200|        |      6.656|          0.92300|    2.24790e-06|          2.20480e-08|
