GRBname     Trig_ID     Trig_time_met  Trig_time_UTC               RA_ground     DEC_ground     Image_position_err  Image_SNR     T90           T90_err       T50           T50_err       Evt_start_sincetrig  Evt_stop_sincetrig  pcode   Trigger_method               XRT_detection  comment                T90_start
----------  ----------  -------------  --------------------------  ------------  -------------  ------------------  ------------  ------------  ------------  ------------  ------------  -------------------  ------------------  ------  ---------------------------  -------------  ---------------------  ---------
GRB250605A  1321323     770842387.008  2025-06-05T18:52:31.274380  1.669628e+02  -1.978594e+01  1.139031e+00        2.525533e+01  1.757840e+02  5.078880e+00  6.518400e+01  3.237866e+00  -239                 963                 0.3516  rate trigger                 Yes                                   -85.616
GRB250603A  1320335     770605858.816  2025-06-03T01:10:23.098520  1.299475e+02  -3.930912e+01  1.964850e+00        1.158981e+01  1.571200e+01  1.187498e+01  1.936000e+00  7.638881e+00  -240                 962                 0.7734  rate trigger                 Yes                                   -11.684
GRB250530C  1319125     770324358.592  2025-05-30T18:58:42.893720  5.514162e+01  -2.245753e+01  1.916185e+00        1.201258e+01  6.532800e+01  2.510668e+01  2.680000e+01  5.675942e+00  -240                 903                 0.9609  rate trigger                 Yes                                   -28.168
GRB250520A  1315630     769401772.48   2025-05-20T02:42:16.844680  2.822659e+02  -1.185553e+01  1.609534e+00        1.541105e+01  4.640000e-01  1.475128e-01  1.280000e-01  3.577705e-02  -239                 963                 0.6875  rate trigger                 Yes                                   -0.248
GRB250516A  1314210     769098964.544  2025-05-16T14:35:28.929340  3.346116e+02  -9.119970e+00  1.073948e+00        2.746987e+01  3.003600e+01  6.009782e+00  1.122800e+01  3.186123e+00  -240                 963                 0.6172  rate trigger                 Yes                                   -8.876
GRB250509A  1311764     768522846.208  2025-05-09T22:33:30.632640  4.645229e+01  -3.885511e+01  7.493952e-01        4.593067e+01  5.432800e+01  1.154252e+01  1.698800e+01  2.162606e+00  -239                 963                 0.9688  rate trigger                 Yes                                   -1.0
GRB250504A  1310284     768093993.024  2025-05-04T23:25:57.477920  2.696040e+02  -4.034643e+01  1.020872e+00        2.953266e+01  5.137600e+01  2.265834e+00  3.100800e+01  3.031335e+00  -239                 963                 0.9844  rate trigger                 Yes                                   -1.788
GRB250430A  1308754     767727095.808  2025-04-30T17:31:00.286960  2.333962e+02  -1.809871e+01  1.103890e+00        2.641168e+01  5.383600e+01  1.409234e+02  6.948000e+00  3.949351e+01  -240                 962                 0.7266  rate trigger                 Yes                                   0.408
GRB250424A  1306404     767170384.0    2025-04-24T06:52:28.516940  2.175316e+02  -3.502450e+01  6.679909e-01        5.413101e+01  1.863200e+01  7.013130e-01  5.700000e+00  1.002397e-01  -239                 963                 0.3906  image trigger                Yes                                   -20.748
GRB250331C  1299967     765088696.0    2025-03-31T04:37:40.659100  8.096256e+01  3.306762e+01   2.021545e+00        1.112827e+01  7.010000e+01  1.170379e+01  2.856800e+01  8.616117e+00  -239                 963                 1.0000  image trigger                Yes                                   -8.948
GRB250331B  1299965     765087618.816  2025-03-31T04:19:43.475160  7.137667e+01  4.379419e+01   2.573816e+00        7.880960e+00  3.952000e+00  7.706310e-01  2.116000e+00  1.006413e+00  -240                 842                 0.5547  rate trigger                 Yes                                   -0.48
GRB250330A  1299776     765007693.504  2025-03-30T06:07:38.168640  2.526855e+02  -8.687489e+01  1.043130e+00        2.863653e+01  1.127200e+01  2.532809e+00  2.752000e+00  3.835206e-01  -180                 963                 0.9844  rate trigger                 Yes                                   0.14
GRB250327A  1299088     764753440.0    2025-03-27T07:30:04.682040  2.482103e+02  6.161106e+01   2.245130e+00        9.579544e+00  9.100800e+01  1.260495e+01  3.462400e+01  9.414583e+00  -239                 843                 0.1035  image trigger                Yes                                   3.752
GRB250322A  1297832     764352408.128  2025-03-22T16:06:12.837500  1.067755e+02  7.196604e+00   1.544426e+00        1.634749e+01  6.240000e-01  4.866208e-02  3.600000e-01  4.816643e-02  -239                 963                 1.0000  rate trigger                 Yes                                   0.004
GRB250321A  1297508     764210594.176  2025-03-21T00:42:38.895220  2.950996e+02  2.105468e+01   1.814515e+00        1.298555e+01  6.208000e+00  1.357645e+00  2.624000e+00  1.055515e+00  -239                 963                 0.2461  rate trigger                 Yes                                   -0.008
