grb_name,trigtime,duration,slc_index,pe_duration,pastro,pbat,classification,gbm_catalog,ra_median,ra_err_plus,ra_err_minus,dec_median,dec_err_plus,dec_err_minus,ra_max,dec_max
GRB130106829,2013-01-06 19:53:27.863052+00:00,6.573,,6.54,1.0,0.0003723756032052,GRB5,GRB,65.65785244964238,3.661129024895161,4.07175625853057,27.9800352992783,2.354505254365087,1.973862100358943,67.2803107377753,27.718388466200587
GRB130109206,2013-01-09 04:56:29.631858+00:00,3.606,,5.4,1.0,,GRB5,GRB,15.936049830858536,2.353741971701117,2.30017306019011,18.59434922814417,1.7806034074244756,1.5021383940873712,16.012557241420016,18.739890871020584
GRB130112353,2013-01-12 08:27:48.237649+00:00,1.086,,1.08,1.0,,GRB5,GRB,190.8324742484088,3.183125876796538,3.5650732220350108,-27.35040579861156,2.484945066325782,2.183920547710816,192.4907508547577,-28.33505139735082
GRB130114019,2013-01-14 00:27:05.308242+00:00,6.573,,6.18,1.0,,GRB5,GRB,318.8582464080101,2.7022806869692886,2.4902545244294174,-21.06108367673987,2.1454376341604373,2.17249984369332,319.2530861916943,-20.88667676982536
GRB130115716,2013-01-15 17:10:43.685865+00:00,6.573,,8.21,1.0,0.9209174909666747,GRB5,GRB,161.5314655787449,3.033224026574373,2.873764992012326,19.87085596273347,2.588129060705711,2.3878710212552186,160.20880436991803,19.338648130364582
GRB130117087,2013-01-17 02:05:38.303920+00:00,6.573,,8.21,0.9072258679092732,,GRB5,GRB,342.7846910848896,4.312148271811054,4.566460320197962,8.56813098055198,3.802747200198123,3.9866848851068672,342.32208101371174,8.99485585813947
GRB130118482,2013-01-18 11:33:29.621635+00:00,2.671,,4.0,1.0,0.1695953491113092,GRB5,GRB,268.6325432981665,6.48429898558868,6.297947088099249,43.590885139261175,3.706737664914165,4.123811473983231,269.24756808098755,43.6710745388863
GRB130119403,2013-01-19 09:40:53.970157+00:00,0.03,,0.03,1.0,0.2773408210160386,GRB5,,266.8935316833497,5.208662793927772,5.287138695263252,0.6810285482142708,5.459482174035768,6.110646959800226,269.26226154386745,1.6019265825785816
GRB130123843,2013-01-23 20:14:19.737952+00:00,1.979,,2.35,1.0,0.0313599593408101,GRB5,GRB,311.6148445204797,3.466146215045512,4.273209555171377,-17.52775078343921,4.015297791166905,3.8299636555600287,312.2716963044903,-17.910014927174377
GRB130125520,2013-01-25 12:29:12.388790+00:00,6.573,,6.54,0.9999974752266316,0.0032334136511757,GRB3,,47.27299437449056,51.565381980329626,14.566468409580756,30.53934729632015,21.46270965620069,42.1622103713762,34.04877519138081,50.69533732753898
GRB130127743,2013-01-27 17:50:23.959400+00:00,0.098,,0.09,1.0,0.0230699790113679,GRB3,GRB,265.36779826782885,8.45552613989912,7.969263263734319,-11.649738070935287,3.9441824876032734,3.4911879319416155,265.47434141034995,-11.562058023886673
GRB130129438,2013-01-29 10:30:37.977875+00:00,6.573,,8.21,1.0,0.2381465387725344,GRB5,,353.3793165606637,3.972894403569171,4.438495900955331,31.286333549748463,2.8371724912996967,2.345065169965157,354.8511957864988,31.131845536417288
GRB130203533,2013-02-03 12:47:52.931632+00:00,6.573,,7.33,1.0,0.0283976888939493,GRB5,,218.89857321315552,57.52268339671557,27.537559596889963,-81.45412178304379,5.716742000775682,4.530619892603312,192.7676917804349,-83.96294483726982
GRB130204484,2013-02-04 11:36:51.747790+00:00,0.133,,0.13,1.0,,GRB6,GRB,88.13355006857232,5.420965565643897,4.960223827964896,28.21668976722504,5.135881667736449,4.5326713946407295,87.60410843239092,28.362711444900512
GRB130205970,2013-02-05 23:17:10.626163+00:00,4.869,,4.6000000000000005,1.0,0.2436071471771397,GRB6,UNCERT,307.769979119432,4.847060503454088,4.711624857869936,-9.340361940903318,9.268274775356751,11.210201255460788,308.01062992744494,-0.4864762968534855
GRB130206482,2013-02-06 11:33:37.699756+00:00,2.671,,4.0,1.0,,GRB5,GRB,267.67576051987385,2.344317695296695,3.4212845668895966,53.30586580648505,0.6658933022029885,0.8379017553229602,268.9670157678518,53.62977926844239
