NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA [deg],DEC [deg],RA_ERR_PLUS_50 [deg],RA_ERR_MINUS_50 [deg],DEC_ERR_PLUS_50 [deg],DEC_ERR_MINUS_50 [deg],RA_ERR_PLUS_90 [deg],RA_ERR_MINUS_90 [deg],DEC_ERR_PLUS_90 [deg],DEC_ERR_MINUS_90 [deg],CONTOUR AREA (50%) [sqdeg],CONTOUR AREA (90%) [sqdeg],ENERGY [TeV],FAR [1/yr],P_ASTRO,OTHER_I3TYPES
IC110514A,118178,17334444,2011-05-14 01:32:22.654,55695.064151089224,gfu-gold,139.09,-1.87,2.02,1.18,0.52,0.35,3.63,2.29,1.0,0.62,2.16,7.44,194,1.15,0.531,gfu-bronze
IC110610A,118309,46569873,2011-06-10 10:13:33.147,55722.42607809128,gfu-gold,273.21,35.41,1.12,1.44,0.91,0.99,2.02,2.61,1.68,1.69,3.07,9.99,317,0.24,0.766,gfu-bronze
IC110616A,118342,24578488,2011-06-16 17:30:53.940,55728.72979097178,gfu-bronze,71.15,5.38,0.27,0.27,0.24,0.29,0.5,0.5,0.46,0.51,0.22,0.76,112,3.99,0.274,
IC110714A,118435,58198553,2011-07-14 02:42:41.855,55756.11298443852,hese-gold,67.98,40.52,0.24,0.26,0.2,0.24,0.35,0.49,0.31,0.38,0.11,0.32,65,0.11,0.778,hese-bronze
IC110726A,118475,52691508,2011-07-26 12:15:33.258,55768.51080159916,gfu-bronze,151.66,6.88,0.67,0.59,0.69,0.55,1.49,1.05,1.1,0.96,1.22,4.0,166,1.66,0.417,
IC110807A,118539,54350726,2011-08-07 23:30:46.456,55780.979704349134,gfu-bronze,336.58,1.49,0.53,0.46,0.26,0.3,1.1,0.78,0.46,0.55,0.41,1.45,111,4.04,0.282,
IC110818A,118576,45696357,2011-08-18 16:31:38.773,55791.68864321097,gfu-bronze,332.4,-2.72,0.33,0.33,0.3,0.41,0.6,0.6,0.62,0.76,0.35,1.27,133,2.53,0.356,
IC110902A,118631,36844560,2011-09-02 02:12:46.331,55806.09220290563,gfu-gold,9.05,7.9,0.4,0.43,0.23,0.23,0.79,0.75,0.4,0.43,0.3,0.99,260,0.67,0.63,gfu-bronze
IC110907A,118660,61529737,2011-09-07 19:04:14.784,55811.79461555,gfu-gold,196.7,9.33,0.32,0.3,0.33,0.3,0.57,0.56,0.59,0.56,0.3,1.0,194,1.06,0.528,gfu-bronze
IC110929A,118738,995844,2011-09-29 06:15:04.218,55833.26046548522,gfu-bronze,121.76,49.9,0.38,0.49,0.18,0.13,0.7,0.84,0.31,0.27,0.13,0.45,164,0.15,0.537,
IC110930A,118741,43101116,2011-09-30 10:40:59.791,55834.44513646853,ehe-gold,267.01,-4.67,0.22,0.26,0.16,0.2,0.48,0.42,0.33,0.35,0.13,0.47,211,1.44,0.147,gfu-bronze
IC111012A,118778,61465314,2011-10-12 20:48:17.617,55846.86687056347,gfu-bronze,172.37,44.94,0.33,0.4,0.25,0.24,0.63,0.7,0.45,0.44,0.2,0.66,123,0.5,0.451,
IC111120A,118973,22324184,2011-11-20 23:03:53.883,55885.96104031756,gfu-bronze,26.15,9.67,0.43,0.43,0.47,0.46,0.78,0.78,0.84,0.84,0.6,2.0,165,1.45,0.441,
IC111208A,119097,49522606,2011-12-08 17:15:15.377,55903.71892797326,gfu-bronze,165.37,40.62,2.0,0.68,0.47,0.5,2.86,1.24,0.9,0.92,1.54,4.76,132,0.3,0.46,
